8.72	C5_B4
7.45	D5_C5
6.78	Ab4_G4
6.48	B4_Ab4
4.97	B4_C5
4.38	Eb5_D5
4.22	G4_G4
4.11	C5_D5
3.08	G4_Ab4
2.72	G4_B4
2.7	Ab4_B4
2.62	G4_F4
2.31	F4_G4
2.31	D5_Eb5
2.14	F5_Eb5
2.12	B4_D5
2.08	B4_B4
1.71	D5_D5
1.67	B4_G4
1.44	C5_C5
1.13	Ab4_Ab4
1.09	G5_F5
0.98	F4_F4
0.95	G4_D5
0.95	G4_C5
0.94	G4_G5
0.93	D5_B4
0.75	G5_G5
0.72	E4_F4
0.71	Eb5_F5
0.66	F4_E4
0.65	D5_G5
0.62	D5_G4
0.57	F4_Ab4
0.57	F5_G5
0.54	Ab4_C5
0.52	Ab5_G5
0.52	C5_Eb5
0.5	D5_F5
0.47	G5_D5
0.44	F5_F5
0.42	G4_Eb5
0.41	C5_Ab4
0.4	Eb5_C5
0.39	G5_G4
0.38	Ab4_F4
0.38	C5_F5
0.36	G5_Ab5
0.36	Eb5_Eb5
0.28	C5_F4
0.27	F4_B4
0.25	G5_B4
0.23	B4_F4
0.23	D4_G4
0.22	G5_F#5
0.21	C5_Bb4
0.21	F#5_G5
0.21	F4_C5
0.2	G4_D4
0.2	C4_F4
0.19	A4_C5
0.19	F4_C4
0.18	G4_G3
0.18	Ab4_D5
0.15	C5_G4
0.14	G4_A4
0.12	F4_F5
0.12	F4_A4
0.11	.
0.11	Bb4_G4
0.11	G5_C5
0.11	G5_Eb5
0.1	F5_D5
0.1	F5_C5
0.1	G4_F5
0.1	F4_D5
0.1	Bb4_D5
0.1	G3_G4
0.1	F5_E5
0.09	C5_G5
0.09	A4_Bb4
0.09	F5_Ab5
0.08	Bb4_Bb4
0.08	Bb4_A4
0.07	Eb5_G5
0.07	F#5_Eb5
0.07	A4_F4
0.07	Bb4_C5
0.06	D4_D4
0.06	Ab5_F5
0.06	Eb5_F#5
0.06	C5_A4
0.06	Eb5_G4
0.05	A5_G5
0.05	E5_F5
0.05	D5_F#5
0.05	G4_E4
0.04	G4_Bb4
0.04	A4_G4
0.04	G4_F#5
0.04	C5_Ab5
0.04	C4_C4
0.04	B5_Ab5
0.04	G5_Bb5
0.04	G4_C4
0.04	F#5_F5
0.04	B4_Eb5
0.04	B4_F5
0.04	Ab5_B5
0.04	E5_Eb5
0.04	G5_F4
0.04	E4_G4
0.04	Bb5_Ab5
0.04	F#5_A5
0.03	C4_Ab4
0.03	G3_D5
0.03	B4_A4
0.03	G5_D4
0.03	A4_C4
0.03	G4_Ab5
0.03	F4_Eb5
0.03	C5_C4
0.02	Bb5_A5
0.02	Ab5_Bb5
0.02	F#5_D5
0.02	Bb4_F4
0.02	F#5_Ab5
0.02	F5_Bb4
0.02	B5_G5
0.02	C6_B5
0.02	F#5_F#5
0.02	D4_D5
0.02	G3_Ab4
0.02	C6_D6
0.02	D6_C6
0.02	D5_F4
0.02	B5_C6
0.02	F4_Bb4
0.02	C#5_D5
0.02	G3_Ab5
0.02	A4_A4
0.02	A5_Ab5
0.02	B4_G5
0.02	D5_Bb4
0.02	D5_D4
0.02	C4_E4
0.02	C4_G4
0.02	G5_A5
0.01	Ab4_F5
0.01	G3_C5
0.01	C4_D4
0.01	D5_Bb5
0.01	G3_B4
0.01	B4_F#5
0.01	Bb4_Eb5
0.01	Ab5_Ab5
0.01	D5_F#4
0.01	Bb5_G5
0.01	G4_B5
0.01	C4_C5
0.01	F#4_G4
0.01	G5_E4
0.01	E5_F#5
0.01	A4_B4
0.01	Eb5_E5
0.01	D4_E4
0.01	A4_D5
0.01	Ab4_E4
0.01	G5_C4
0.01	D5_Ab4
0.01	Bb4_C#5
0.01	G5_B5
0.01	D5_C#5
